0
(0.153615 29 8 14 , 0.161148 29 8 13)
(0.0656643 14 10 18 , 0.161425 13 10 18)
(0.0939077 3 26 13 , 0.161681 2 26 13)
(0.0251364 26 21 13 , 0.161886 26 21 12)
(0.108817 21 14 2 , 0.162074 21 15 2)
(0.114394 14 2 27 , 0.162095 14 1 27)
(0.0566384 9 8 7 , 0.162177 9 7 7)
(0.032899 18 20 26 , 0.162233 18 21 26)
(0.0529846 1 6 23 , 0.162351 1 4 24)
(0.0533937 9 10 5 , 0.162416 10 10 5)
(0.0995967 18 4 4 , 0.163085 18 6 4)
(0.0841316 16 15 25 , 0.16335 17 16 26)
(0.153833 15 0 11 , 0.163556 14 0 11)
(0.0913088 13 0 12 , 0.163556 14 0 11)
(0.0700626 13 28 5 , 0.163671 14 28 5)
(0.155794 27 9 8 , 0.164074 27 10 8)
(0.150791 5 15 4 , 0.164176 5 15 5)
(0.0250302 12 18 14 , 0.164324 12 17 14)
(0.0978128 19 6 6 , 0.164832 20 6 6)
(0.0831189 17 9 18 , 0.165038 17 8 18)
(0.111519 8 29 10 , 0.165662 8 28 10)
(0.0781739 25 0 22 , 0.165882 25 2 21)
(0.149015 29 25 17 , 0.165977 29 26 17)
(0.143227 19 4 12 , 0.166261 19 4 13)
(0.126641 14 18 6 , 0.166525 14 19 6)
(0.112503 16 20 28 , 0.166755 16 20 29)
(0.0173978 18 19 29 , 0.166755 16 20 29)
(0.0375025 21 17 0 , 0.16683 21 18 0)
(0.146189 18 28 13 , 0.16704 18 28 14)
(0.113657 13 10 14 , 0.167289 13 9 14)
(0.0250205 9 13 4 , 0.167413 9 13 3)
(0.165085 2 26 19 , 0.167492 3 26 19)
(0.103829 8 5 17 , 0.167523 8 4 17)
(0.107928 19 14 7 , 0.167662 20 14 7)
(0.110201 18 15 4 , 0.167782 18 16 4)
(0.101157 5 20 26 , 0.167887 5 20 27)
(0.132234 14 9 24 , 0.168053 14 9 25)
(0.0783914 6 3 19 , 0.168135 6 3 20)
(0.079822 6 1 19 , 0.168174 6 1 18)
(0.0606165 16 21 17 , 0.168265 16 22 17)
